,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE,KL,MAE,TV
100,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,10,0.1003,0.2873462897934611,,0.15625506688478655,0.7608891522950993
101,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,10,0.2028,0.2884667923370757,,0.15975958933339948,0.7809648679353779
102,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,10,0.0986,0.30315061725354175,,0.15865019355214247,0.7746266331094817
103,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,10,0.1,0.3117242168288575,,0.15966147697317068,0.778063863375455
104,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,10,0.1985,0.28505849623278695,,0.15558291841379726,0.7586971576269463
105,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,25,0.4589,0.24851126640612747,,0.1110344687361547,0.5444438674370553
106,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,25,0.416,0.24313265366393577,,0.1211570352317625,0.5914696160391967
107,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,25,0.6792,0.23073405630521396,,0.115115088986769,0.5605469104775315
108,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,25,0.4566,0.24900998196384694,,0.11341224733161445,0.5561627881296421
109,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,25,0.4647,0.2488794875156357,,0.11751092572385927,0.5748151798086857
110,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,50,0.8704,0.14936844417074535,,0.054692503075321176,0.26707767213846645
111,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,50,0.8661,0.15040427719996224,,0.0636684043822903,0.31172505897115377
112,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,50,0.5955,0.2035901856130927,,0.09209705336974551,0.44668697597093804
113,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,50,0.8317,0.15400303770582355,,0.061651878780610125,0.30169258700250956
114,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,50,0.6838,0.1975238188557522,,0.07819263976692822,0.38011821363304527
115,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,100,0.87,0.12672555391875276,,0.03882872546198726,0.1888241483981677
116,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,100,0.8433,0.13336238940060363,,0.04559885080479935,0.221336473268396
117,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,100,0.8778,0.13322544236183567,,0.044171636327341196,0.21301527635830936
118,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,100,0.8717,0.13074965196366395,,0.037999376392377736,0.1840364565390902
119,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,100,0.8885,0.1323090621499273,,0.040293428865584735,0.19734653138308617
120,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,250,0.8849,0.1207619361558383,,0.030805977105244166,0.15035536278373673
121,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,250,0.8752,0.12895024639807343,,0.037643512400606136,0.18251038419455992
122,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,250,0.8795,0.12322526242786094,,0.03511671317369833,0.16998602253629916
123,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,250,0.8856,0.12474462615758268,,0.03567160107765312,0.17318439483535059
124,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,250,0.8845,0.1227797860507095,,0.03671390709245635,0.17720795726818456
125,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,500,0.8807,0.12208445770070682,,0.03500749522238633,0.16900713709895046
126,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,500,0.8844,0.11807035509015121,,0.03225363176869197,0.1563431726151945
127,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,500,0.8887,0.12009038539662069,,0.0333149053207337,0.16146158628646817
128,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,500,0.8755,0.1252118128036938,,0.038126515642729765,0.1848746935345205
129,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,500,0.8902,0.11932648033761242,,0.03428918803933984,0.1666289465675166
130,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,1000,0.8868,0.11883536306702547,,0.03234644152317445,0.15643379827954088
131,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,1000,0.8903,0.11569913840996153,,0.031231431484621496,0.1508791452411759
132,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,1000,0.8901,0.11634838585633756,,0.03134739366476852,0.1517843640033905
133,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,1000,0.8801,0.11784075823035897,,0.03315896030209578,0.16046814249488914
134,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,1000,0.8914,0.11784897063772415,,0.031414255912232826,0.15218575149208713
135,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,5000,0.9065,0.10689246493700735,,0.02945261920084809,0.1423895745592088
136,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,5000,0.9033,0.1074829798348073,,0.029651722506703226,0.14340015492391334
137,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,5000,0.9043,0.10694877201300945,,0.02976543908080163,0.1438497147508184
138,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,5000,0.9083,0.10629394992035505,,0.028960564269012855,0.14018383493140912
139,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,5,5000,0.9089,0.10513929505098037,,0.028558291934987247,0.13834675553099088
