,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE
235,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,5000,0.73978,0.272100170478537
236,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,5000,0.832,0.2718471594986084
237,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,5000,0.78646,0.272622058334619
238,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,5000,0.80612,0.27193793003465616
239,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,5000,0.79004,0.2722024022927047
240,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,10000,0.7518,0.27215834642262593
241,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,10000,0.8171,0.2725358793735929
242,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,10000,0.73782,0.27214443940703803
243,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,10000,0.82832,0.272326690629448
244,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,10000,0.82838,0.2721124766686735
245,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.01,100000,0.8121,0.2721424371163795
