,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,runtime,config
89,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,21,0.13344892722394017,0.8472,7.421925067901611,configs/FGMRES.json
90,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,26,0.12821197163757478,0.85852,7.817281484603882,configs/FGMRES.json
91,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,26,0.12968439556616124,0.85056,7.839880466461182,configs/FGMRES.json
92,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,26,0.12839268880699126,0.86084,7.85352087020874,configs/FGMRES.json
93,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,26,0.12674091156273914,0.85936,7.793126583099365,configs/FGMRES.json
94,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,26,0.12717728122197486,0.85422,7.812018632888794,configs/FGMRES.json
95,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,31,0.12682178081935055,0.8589,8.00520372390747,configs/FGMRES.json
96,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,31,0.12760792719459557,0.85892,7.949194431304932,configs/FGMRES.json
97,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,31,0.1218953537885364,0.86556,7.980618953704834,configs/FGMRES.json
98,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,31,0.129176623178684,0.85116,7.939793825149536,configs/FGMRES.json
99,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,31,0.12855682440561478,0.85792,7.917630195617676,configs/FGMRES.json
100,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,41,0.12387189675586963,0.8664,9.00008487701416,configs/FGMRES.json
101,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,41,0.1297092564600953,0.85364,8.840266942977905,configs/FGMRES.json
102,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,41,0.12484867460565094,0.86338,8.814303636550903,configs/FGMRES.json
103,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,41,0.12989412342376802,0.85548,8.786302089691162,configs/FGMRES.json
104,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,41,0.12788694043704646,0.86116,8.834213733673096,configs/FGMRES.json
105,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,51,0.12413469518355136,0.8678,10.499638319015503,configs/FGMRES.json
106,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,51,0.12697474471588252,0.8568,10.470695734024048,configs/FGMRES.json
107,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,51,0.12481642243153099,0.86252,10.456119060516357,configs/FGMRES.json
108,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,51,0.12417510864867831,0.8668,10.470465183258057,configs/FGMRES.json
109,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.9,500,51,0.12386323741942544,0.86312,10.454028844833374,configs/FGMRES.json
110,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,3,0.14807112901627878,0.8079,9.944907426834106,configs/FGMRES.json
111,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,3,0.14856441599089812,0.81436,9.623966217041016,configs/FGMRES.json
112,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.99,500,3,0.15262097554938028,0.80162,9.868066787719727,configs/FGMRES.json
