,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE,KL,MAE,TV,sparse
146,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,100000,0.1004,0.2869119875269499,2.1406623451141775,0.17280718004767098,0.8536945166137261,False
147,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,100000,0.1004,0.2869125083562369,2.1407041106887275,0.17280120007661234,0.8536896393002072,False
148,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,100000,0.1999,0.286909806468154,2.140664336208834,0.17281760772313995,0.853684021350303,False
149,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.0001,100000,0.1015,0.286910950755921,2.140653068271689,0.17281220103674477,0.8536957559919334,False
150,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,10,0.1001,0.3058954274509247,11.926450551538924,0.17381803279946326,0.8469062776229889,False
151,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,10,0.1015,0.29664718781212607,9.517175897516788,0.17267450871668794,0.8447540621954893,False
152,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,10,0.1015,0.30923757028057586,14.386156233046457,0.17541543323143963,0.8479317598759272,False
153,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,10,0.1975,0.2915027139641635,7.065446864154574,0.1730582609937607,0.8474426861181817,False
154,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,10,0.3523,0.2992389615634966,11.910836105597,0.17404812155353125,0.8497545829548285,False
155,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,25,0.0999,0.2906553192618064,4.730144901230479,0.1717719098530991,0.8467865412460326,False
156,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,25,0.0981,0.29237870066528604,4.791781603192228,0.17232612293725627,0.847059139761954,False
157,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,25,0.2828,0.2901650984092734,4.732713285024463,0.1726232357931405,0.8477433791685253,False
158,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,25,0.1905,0.2893403051249516,4.546143138376309,0.17171773509376279,0.8451462642378312,False
159,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,25,0.1757,0.2906906238289895,4.694606228164846,0.17220172801318562,0.8468163925036745,False
160,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,50,0.0998,0.2875510617528839,2.179305817561088,0.17125540223360392,0.8456109687328406,False
161,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,50,0.0999,0.288623745644646,2.2285702661545628,0.17232120204710294,0.8488970141525407,False
162,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,50,0.1005,0.28787477003467954,2.1483864351977706,0.17169081704797134,0.8484840902242926,False
163,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,50,0.0995,0.28757149275798666,2.170372590192248,0.17143732258012906,0.846755635458678,False
164,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,50,0.2766,0.287045450429158,2.162600743549552,0.17140782390451423,0.8467366945606093,False
165,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,100,0.1999,0.28678668384926287,2.151032054653762,0.17145886636310798,0.846098272222752,False
166,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,0.001,100,0.2903,0.285253694734692,2.0988929629234727,0.17134288356747945,0.8466886480654316,False
