,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE
154,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,10,0.1002,0.30344889802487646
155,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,25,0.37324,0.26041049561207086
156,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,25,0.32768,0.2649938368637951
157,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,25,0.36278,0.25199206484291137
158,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,25,0.51322,0.25229054233901155
159,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,25,0.35814,0.25167488254446535
160,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,50,0.6252,0.22769821341316449
161,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,50,0.66514,0.20463697413155235
162,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,50,0.74564,0.18294125768352218
163,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,50,0.69494,0.19696724709072094
164,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,50,0.76942,0.19704278524764524
165,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,100,0.89306,0.12469612280493822
166,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,100,0.88204,0.1320276627123758
167,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,100,0.89272,0.12798988388390822
168,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,100,0.88378,0.1226534411572189
169,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,100,0.82996,0.13695496125186865
170,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,250,0.89922,0.11991184734884348
171,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,250,0.89664,0.11952592576160756
172,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,250,0.89904,0.11794062223061683
173,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,250,0.8933,0.12284305472494723
174,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,250,0.88978,0.12252562971676592
175,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,500,0.89788,0.11975083444072192
176,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,500,0.89466,0.12114054058748921
177,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,500,0.89904,0.11912150180090372
178,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,500,0.8999,0.1188456201463757
179,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,500,0.8963,0.11760806819436471
180,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,1000,0.90184,0.1169911870412712
181,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,1000,0.89914,0.11665479151441667
182,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,1000,0.90206,0.11805243974023061
183,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,1000,0.9015,0.11564902595352548
184,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,1000,0.89998,0.11693092435665922
185,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,5000,0.90444,0.11305826705847193
186,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,5000,0.9051,0.11238469526505002
187,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,5000,0.90516,0.11344844749536778
188,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,5000,0.9037,0.11330140015186056
189,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,5000,0.90404,0.11222689429303623
190,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,7,10000,0.9069,0.11007588974432707
